,Location,Parameter,Unit,Frequency,Date,Value
80,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TSS,MG/L,1 / 3 MO.,1997-02-28,0.004970178926441356
81,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Oil,MG/L,1 / 3 MO.,1997-02-28,0.3873333333333333
82,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),N,MG/L,1 / 3 MO.,1997-02-28,0.8115942028985509
83,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.058191584601611446
84,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),P,MG/L,1 / 3 MO.,1997-02-28,2.8000000000000003
85,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),CaCO3,MG/L,1 / 3 MO.,1997-02-28,0.3333333333333333
86,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Ag,UG/L,1 / 3 MO.,1997-02-28,17.602655725910818
87,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Zn,UG/L,1 / 3 MO.,1997-02-28,0.7964873210897783
88,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cd,UG/L,1 / 3 MO.,1997-02-28,0.2631077914637478
89,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Pb,UG/L,1 / 3 MO.,1997-02-28,0.09384964973434916
90,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Cu,UG/L,1 / 3 MO.,1997-02-28,0.516736887868456
91,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Flow,MGD,1 / 3 MO.,1997-02-28,0.02970542123937619
92,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),TDS,MG/L,1 / 3 MO.,1997-02-28,0.8932038834951457
93,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),Streptococci,#/100ML,1 / 3 MO.,1997-02-28,0.11
94,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),E.Coli,#/100ML,1 / 3 MO.,1997-02-28,1.0146341463414634
95,4 - REBSAMEN PARK (CHANGED TO GILLIAM PARK RD. 9/1/2005),"BOD, C",MG/L,1 / 3 MO.,1997-02-28,0.1
96,5 - 14TH & BOND,Se,UG/L,1 / 3 MO.,1997-02-28,0.25
97,5 - 14TH & BOND,Be,UG/L,1 / 3 MO.,1997-02-28,0.52
98,5 - 14TH & BOND,Ni,UG/L,1 / 3 MO.,1997-02-28,0.02016189128668736
99,5 - 14TH & BOND,Cr,UG/L,1 / 3 MO.,1997-02-28,0.04065514822805393
100,5 - 14TH & BOND,Hg,UG/L,1 / 3 MO.,1997-02-28,0.09803921568627451
101,5 - 14TH & BOND,Cyanide,UG/L,1 / 3 MO.,1997-02-28,0.4472271914132379
102,5 - 14TH & BOND,BOD,MG/L,1 / 3 MO.,1997-02-28,2.038397724579285
103,5 - 14TH & BOND,pH,SU,1 / 3 MO.,1997-02-28,0.7966666666666666
104,5 - 14TH & BOND,TSS,MG/L,1 / 3 MO.,1997-02-28,0.6163021868787282
105,5 - 14TH & BOND,Oil,MG/L,1 / 3 MO.,1997-02-28,0.094
106,5 - 14TH & BOND,N,MG/L,1 / 3 MO.,1997-02-28,5.91304347826087
107,5 - 14TH & BOND,"N, Kjeldahl",MG/L,1 / 3 MO.,1997-02-28,0.5849000298418381
108,5 - 14TH & BOND,P,MG/L,1 / 3 MO.,1997-02-28,12.6
